0, 0, 18684, 6228, -1, -1, -1, -1
1, 0.103242, 1801, 3574, -1, -1, -1, -1
2, 0.02136, 2863, 15970, -1, -1, -1, -1
3, 1.44694, 50649, 274792, 1.55853e+10, 539626, 10, -1
7, 2.42629, 3974, 22806, 2.31128e+07, 3451.47, -1, -1
3, 0.0754519, 4736, 26905, 2.81511e+07, 8228.36, 1, -1
6, 0.0368917, 12985, 69721, 2.81511e+07, 3195.19, -1, -1
7, 0.382531, 5305, 28605, 545151, 1662.94, -1, -1
8, 0.134335, 5305, 27235, 358173, 89.9799, -1, -1
9, 0.0326208, 5305, 27235, 358173, 86.901, -1, -1
6, 0.024297, 8740, 42841, 358173, 56.7911, -1, -1
7, 0.216399, 5251, 27006, 358173, 82.6035, -1, -1
8, 0.0988185, 5251, 26906, 358173, 60.9628, -1, -1
9, 0.0290275, 5251, 26906, 104678, 13.7844, -1, -1
6, 0.0227292, 8127, 39341, 104678, 10.7591, -1, -1
7, 0.156807, 5307, 27100, 104678, 13.6053, -1, -1
8, 0.085969, 5307, 27091, 104678, 13.5762, -1, -1
9, 0.0283239, 5307, 27091, 104678, 13.5197, -1, -1
3, 0.0191395, 5369, 27439, 104678, 14.4967, 0, -1
6, 0.0239448, 8734, 42471, 91068.9, 42.5644, -1, -1
7, 0.17649, 5620, 28825, 38.4987, 3.8914, -1, -1
8, 0.0992325, 5620, 28790, 37.04, 3.8605, -1, -1
9, 0.0273575, 5620, 28790, 37.04, 3.80861, -1, -1
6, 0.0229505, 8254, 39964, 37.04, 3.92449, -1, -1
7, 0.144107, 5674, 29090, 37.0137, 3.81784, -1, -1
8, 0.0884039, 5674, 29072, 35.0219, 3.80437, -1, -1
9, 0.0270563, 5674, 29072, 35.0219, 3.77537, -1, -1
6, 0.0228292, 8152, 39402, 35.0219, 3.88639, -1, -1
7, 0.135431, 5700, 29236, 35.0219, 3.78457, -1, -1
8, 0.0834151, 5700, 29231, 35.0219, 3.77797, -1, -1
9, 0.0262264, 5700, 29231, 35.0219, 3.76066, -1, -1
6, 0.0259073, 9328, 45642, 42.4754, 4.01945, -1, -1
7, 0.177257, 6204, 32081, 18.671, 3.78566, -1, -1
8, 0.113833, 6204, 32034, 18.671, 3.7553, -1, -1
9, 0.0286689, 6204, 32034, 14.4466, 3.70427, -1, -1
6, 0.0246208, 8726, 42545, 15.6693, 3.8328, -1, -1
7, 0.146232, 6272, 32341, 14.4466, 3.715, -1, -1
8, 0.0976492, 6272, 32320, 14.4466, 3.706, -1, -1
9, 0.0270774, 6272, 32320, 13.7816, 3.68127, -1, -1
6, 0.0245311, 8597, 41890, 13.7816, 3.8015, -1, -1
7, 0.135276, 6323, 32549, 13.7816, 3.69272, -1, -1
8, 0.0960918, 6323, 32548, 13.7816, 3.68676, -1, -1
9, 0.0260527, 6323, 32548, 13.1735, 3.6693, -1, -1
6, 0.0242973, 8501, 41400, 13.1735, 3.78027, -1, -1
7, 0.133407, 6362, 32769, 13.1735, 3.67803, -1, -1
8, 0.0947408, 6362, 32765, 13.1735, 3.67477, -1, -1
9, 0.026534, 6362, 32765, 12.779, 3.66349, -1, -1
6, 0.0251293, 8938, 43860, 13.5006, 3.82721, -1, -1
7, 0.160339, 6643, 34365, 8.28193, 3.69209, -1, -1
8, 0.109229, 6643, 34352, 7.57966, 3.68318, -1, -1
9, 0.027876, 6643, 34352, 7.45439, 3.65948, -1, -1
7, 0.113609, 6528, 33761, 7.45439, 3.65682, -1, -1
4, 6.34633, 6528, 33761, 7.45439, 3.65682, -1, -1
5, 0.0849969, 6528, 16197, 7.45439, 3.79195, -1, -1
-1, 8.09746, 6528, 16197, 7.45439, 3.79195, 0, 279
